EXERCISE,CALL_BID x CALL_ASK,CALL_VOLUMEN,CALL_INTERES_ABIERTO,CALL_DELTA,CALL_GAMMA,CALL_VEGA,CALL_THETA,PUT_BID x PUT_ASK,PUT_VOLUMEN,PUT_INTERES_ABIERTO,PUT_DELTA,PUT_GAMMA,PUT_VEGA,PUT_THETA
785,0.01 x 0.02,1,1280,0.002,0.000,0.007,-0.008,91.16 x 93.84,,,-1.000,0.000,0.000,0.000
790,0.01 x 0.02,62,11400,0.001,0.000,0.007,-0.007,96.16 x 98.83,,,-1.000,0.000,0.000,0.000
795,0.01 x 0.02,1640,4030,0.001,0.000,0.005,-0.005,101.16 x 103.83,,,-1.000,0.000,0.000,0.000
800,x 0.01,113,24300,0.001,0.000,0.004,-0.004,106.16 x 108.83,,,-1.000,0.000,0.000,0.000
805,x 0.01,133,3680,0.000,0.000,0.002,-0.002,111.16 x 113.83,,,-1.000,0.000,0.000,0.000
810,x 0.01,14,6980,0.000,0.000,0.001,-0.001,116.16 x 118.83,,,-1.000,0.000,0.000,0.000
815,x 0.01,,5010,0.000,0.000,0.001,-0.001,121.16 x 123.83,,,-1.000,0.000,0.000,0.000
820,x 0.01,,3710,0.000,0.000,0.000,0.000,126.16 x 128.83,,,-1.000,0.000,0.000,0.000
825,x 0.01,,11300,0.000,0.000,0.000,0.000,131.16 x 133.84,,,-1.000,0.000,0.000,0.000
830,x 0.01,,6960,0.000,0.000,0.000,0.000,136.16 x 138.83,,,-1.000,0.000,0.000,0.000
835,x 0.01,,9840,0.000,0.000,0.000,0.000,141.07 x 143.83,,,-1.000,0.000,0.000,0.000
840,x 0.01,1,50100,0.000,0.000,0.000,0.000,146.15 x 148.84,,,-1.000,0.000,0.000,0.000
850,x 0.01,,3030,0.000,0.000,0.000,0.000,156.16 x 158.84,,,-1.000,0.000,0.000,0.000
855,x 0.01,,1,0.000,0.000,0.000,0.000,161.16 x 163.84,,,-1.000,0.000,0.000,0.000
860,x 0.01,,2560,0.000,0.000,0.000,0.000,166.16 x 168.84,,,-1.000,0.000,0.000,0.000
865,x 0.01,,9260,0.000,0.000,0.000,0.000,171.16 x 173.84,,,-1.000,0.000,0.000,0.000
870,x 0.01,,16300,0.000,0.000,0.000,0.000,176.16 x 178.84,,,-1.000,0.000,0.000,0.000
875,x 0.01,,19400,0.000,0.000,0.000,0.000,181.16 x 183.84,,,-1.000,0.000,0.000,0.000
880,x 0.01,,501,0.000,0.000,0.000,0.000,186.15 x 188.84,,,-1.000,0.000,0.000,0.000
885,x 0.01,,528,0.000,0.000,0.000,0.000,191.14 x 193.84,1,,-1.000,0.000,0.000,0.000
890,x 0.01,,9500,0.000,0.000,0.000,0.000,196.14 x 198.84,,,-1.000,0.000,0.000,0.000
895,x 0.01,,505,0.000,0.000,0.000,0.000,201.15 x 203.84,,,-1.000,0.000,0.000,0.000
900,x 0.01,,4,0.000,0.000,0.000,0.000,206.15 x 208.83,,,-1.000,0.000,0.000,0.000
905,x 0.01,,5,0.000,0.000,0.000,0.000,211.14 x 213.84,,,-1.000,0.000,0.000,0.000
910,x 0.01,,, ,,, ,216.14 x 218.84,,,-1.000,0.000,0.000,0.000
915,x 0.01,,, ,,, ,221.14 x 223.84,,,-1.000,0.000,0.000,0.000
920,x 0.01,,,0.000,0.000,0.000,0.000,226.15 x 228.84,,,-1.000,0.000,0.000,0.000
925,x 0.01,,,0.000,0.000,0.000,0.000,231.15 x 233.82,,1,-1.000,0.000,0.000,0.000
930,x 0.01,,3,0.000,0.000,0.000,0.000,236.15 x 238.84,,,-1.000,0.000,0.000,0.000
935,x 0.01,,33,0.000,0.000,0.000,0.000,241.15 x 243.84,,,-1.000,0.000,0.000,0.000
940,x 0.01,,130,0.000,0.000,0.000,0.000,246.15 x 248.84,,,-1.000,0.000,0.000,0.000
945,x 0.01,,1,0.000,0.000,0.000,0.000,251.15 x 253.84,,,-1.000,0.000,0.000,0.000
950,x 0.01,,1,0.000,0.000,0.000,0.000,256.15 x 258.84,,,-1.000,0.000,0.000,0.000
955,x 0.01,,8,0.000,0.000,0.000,0.000,261.15 x 263.84,,,-1.000,0.000,0.000,0.000
960,x 0.01,,,0.000,0.000,0.000,0.000,266.15 x 268.84,,,-1.000,0.000,0.000,0.000
965,x 0.01,,,0.000,0.000,0.000,0.000,271.15 x 273.85,,,-1.000,0.000,0.000,0.000
970,x 0.01,,736,0.000,0.000,0.000,0.000,276.15 x 278.84,,,-1.000,0.000,0.000,0.000
975,x 0.01,,485,0.000,0.000,0.000,0.000,281.15 x 283.84,,,-1.000,0.000,0.000,0.000
980,x 0.01,,230,0.000,0.000,0.000,0.000,286.15 x 288.83,,,-1.000,0.000,0.000,0.000
985,x 0.01,,92,0.000,0.000,0.000,0.000,291.15 x 293.85,,,-1.000,0.000,0.000,0.000
990,x 0.01,,,0.000,0.000,0.000,0.000,296.15 x 298.84,,,-1.000,0.000,0.000,0.000
995,x 0.01,,142,0.000,0.000,0.000,0.000,301.15 x 303.84,,,-1.000,0.000,0.000,0.000
1000,x 0.01,,2960,0.000,0.000,0.000,0.000,306.15 x 308.84,,,-1.000,0.000,0.000,0.000
1010,x 0.01,,,0.000,0.000,0.000,0.000,316.15 x 318.88,,,-1.000,0.000,0.000,0.000
1020,x 0.01,,,0.000,0.000,0.000,0.000,326.18 x 328.92,,,-1.000,0.000,0.000,0.000
1030,x 0.01,,,0.000,0.000,0.000,0.000,336.18 x 338.92,,,-1.000,0.000,0.000,0.000
1040,x 0.01,,,0.000,0.000,0.000,0.000,346.18 x 348.92,,,-1.000,0.000,0.000,0.000
1050,x 0.01,,,0.000,0.000,0.000,0.000,356.18 x 358.89,,,-1.000,0.000,0.000,0.000
1060,x 0.01,,,0.000,0.000,0.000,0.000,366.18 x 368.92,,,-1.000,0.000,0.000,0.000
1070,x 0.01,,,0.000,0.000,0.000,0.000,376.18 x 378.92,,,-1.000,0.000,0.000,0.000
1080,x 0.01,,,0.000,0.000,0.000,0.000,386.18 x 388.92,,,-1.000,0.000,0.000,0.000
1090,x 0.01,,,0.000,0.000,0.000,0.000,396.18 x 398.92,,,-1.000,0.000,0.000,0.000
1100,x 0.01,,,0.000,0.000,0.000,0.000,406.18 x 408.92,,,-1.000,0.000,0.000,0.000
1110,x 0.01,,,0.000,0.000,0.000,0.000,416.20 x 418.98,,,-1.000,0.000,0.000,0.000
1120,x 0.01,,,0.000,0.000,0.000,0.000,426.20 x 428.98,,,-1.000,0.000,0.000,0.000
1130,x 0.01,,,0.000,0.000,0.000,0.000,436.20 x 438.98,,,-1.000,0.000,0.000,0.000
1140,x 0.01,,,0.000,0.000,0.000,0.000,446.20 x 448.98,,,-1.000,0.000,0.000,0.000
1150,x 0.01,,,0.000,0.000,0.000,0.000,456.18 x 458.92,,,-1.000,0.000,0.000,0.000
1160,x 0.01,,,0.000,0.000,0.000,0.000,466.20 x 468.98,,,-1.000,0.000,0.000,0.000
1170,x 0.01,,,0.000,0.000,0.000,0.000,476.20 x 478.98,,,-1.000,0.000,0.000,0.000
1180,x 0.01,,,0.000,0.000,0.000,0.000,486.20 x 488.98,,,-1.000,0.000,0.000,0.000
1190,x 0.01,,,0.000,0.000,0.000,0.000,496.20 x 498.98,,,-1.000,0.000,0.000,0.000
1200,x 0.01,,,0.000,0.000,0.000,0.000,506.18 x 508.98,,,-1.000,0.000,0.000,0.000
